train-logloss,val-logloss
0.624201  , 0.625511
0.567788  , 0.570138
0.520964  , 0.524317
0.481728  , 0.485906
0.448417  , 0.453366
0.420016  , 0.425519
0.395734  , 0.401784
0.374786  , 0.38123
0.356734  , 0.363571
0.341036  , 0.348276
0.327417  , 0.335036
0.315581  , 0.32356
0.305235  , 0.313586
0.296264  , 0.304972
0.288444  , 0.297363
0.281608  , 0.290766
0.275621  , 0.284955
0.270388  , 0.279933
0.265828  , 0.275564
0.261847  , 0.27179
0.258354  , 0.268463
0.255316  , 0.265512
0.252674  , 0.262953
0.250363  , 0.260782
0.248334  , 0.258886
0.246571  , 0.257199
0.245052  , 0.255751
0.243711  , 0.254462
0.242531  , 0.253332
0.241514  , 0.252351
0.24062   , 0.251507
0.239837  , 0.250764
0.239161  , 0.250101
0.238574  , 0.249566
0.238061  , 0.249084
0.237607  , 0.248637
0.237206  , 0.248261
0.236866  , 0.247946
0.236567  , 0.24767
0.2363    , 0.247426
0.236075  , 0.247198
0.235858  , 0.247
0.235678  , 0.246844
0.235508  , 0.246678
0.235369  , 0.246556
0.23525   , 0.246445
0.235136  , 0.246332
0.235019  , 0.246215
0.234918  , 0.246117
0.234834  , 0.246039
0.234753  , 0.245969
0.234676  , 0.245902
0.234609  , 0.245831
0.234546  , 0.245763
0.234497  , 0.245726
0.234451  , 0.245695
0.234408  , 0.245653
0.234369  , 0.245627
0.234324  , 0.245596
0.234279  , 0.245566
0.234236  , 0.245522
0.23421   , 0.245514
0.234182  , 0.2455
0.234155  , 0.245476
0.23413   , 0.245452
0.234107  , 0.24544
0.234054  , 0.245382
0.234028  , 0.245365
0.234009  , 0.245348
0.233976  , 0.245326
0.233956  , 0.245311
0.233932  , 0.245303
0.233913  , 0.245288
0.233884  , 0.245254
0.233862  , 0.24525
0.233846  , 0.24524
0.233832  , 0.245228
0.233821  , 0.245225
0.233805  , 0.245217
0.233793  , 0.245209
0.233774  , 0.245201
0.233746  , 0.245164
0.233731  , 0.245149
0.233712  , 0.245136
0.2337    , 0.245135
0.233691  , 0.245133
0.233672  , 0.245116
0.233663  , 0.245109
0.233655  , 0.245109
0.233644  , 0.245101
0.233634  , 0.245096
0.233624  , 0.245094
0.233614  , 0.24508
0.233599  , 0.245067
0.233588  , 0.245052
0.233577  , 0.245049
0.233563  , 0.245039
0.233549  , 0.24502
0.233532  , 0.24501
0.233527  , 0.245006
0.233518  , 0.244999
0.23351   , 0.244994
0.233504  , 0.244995
0.233497  , 0.244986
0.23349   , 0.244982
0.233473  , 0.244969
0.233463  , 0.244964
0.23345   , 0.24496
0.233438  , 0.24494
0.23343   , 0.244933
0.233421  , 0.244925
0.233415  , 0.244922
0.233405  , 0.244911
0.233399  , 0.244908
0.233394  , 0.244907
0.233388  , 0.244909
0.233377  , 0.2449
0.233367  , 0.244892
0.233353  , 0.244876
0.233336  , 0.244855
0.233328  , 0.244851
0.233318  , 0.244844
0.233312  , 0.244841
0.233295  , 0.244822
0.233289  , 0.24482
0.233273  , 0.244809
0.233264  , 0.244802
0.23326   , 0.244805
0.233255  , 0.2448
0.233247  , 0.244792
0.233243  , 0.244789
0.233234  , 0.244778
0.233229  , 0.244775
0.233223  , 0.244772
0.233221  , 0.244776
0.233207  , 0.244766
0.233203  , 0.244762
0.233193  , 0.244752
0.233178  , 0.244741
0.23317   , 0.244733
0.233159  , 0.244719
0.233152  , 0.244711
0.233138  , 0.244694
0.233131  , 0.24469
0.23312   , 0.244681
0.233112  , 0.244677
0.233107  , 0.244671
0.233102  , 0.24467
0.233099  , 0.24467
0.233092  , 0.244667
0.233081  , 0.244659
0.233075  , 0.244654
0.233064  , 0.244644
0.233059  , 0.244639
0.233051  , 0.244633
0.233048  , 0.244631
0.233044  , 0.244629
0.233033  , 0.244617
0.233029  , 0.244616
0.233024  , 0.244613
0.233021  , 0.244613
0.233016  , 0.24461
0.233005  , 0.244595
0.233003  , 0.244596
0.232998  , 0.244587
0.232989  , 0.244579
0.232984  , 0.244572
0.23298   , 0.244569
0.232977  , 0.244568
0.232973  , 0.244567
0.232964  , 0.244559
0.232956  , 0.244552
0.23295   , 0.244548
0.232943  , 0.244542
0.23294   , 0.244539
0.232935  , 0.244536
0.232927  , 0.244529
0.232924  , 0.244527
0.232919  , 0.244523
0.232913  , 0.244518
0.232907  , 0.244515
0.232898  , 0.244504
0.232892  , 0.2445
0.232888  , 0.244497
0.232883  , 0.244491
0.232879  , 0.244487
0.232873  , 0.244479
0.232867  , 0.244472
0.232859  , 0.244464
0.232855  , 0.244461
0.23285   , 0.244458
0.232846  , 0.244456
0.232842  , 0.244451
0.232838  , 0.244452
0.232837  , 0.244454
0.232831  , 0.244452
0.232828  , 0.24445
0.232826  , 0.244449
0.23282   , 0.24444
0.232812  , 0.244433
0.23281   , 0.244432
0.232804  , 0.244429
0.232798  , 0.244424
0.232796  , 0.244424
0.232793  , 0.244422
0.232788  , 0.244417
0.232784  , 0.244414
0.232781  , 0.244412
0.232778  , 0.24441
0.232774  , 0.244412
0.232772  , 0.244412
0.232767  , 0.244407
0.232761  , 0.244402
0.232757  , 0.244397
0.232752  , 0.244392
0.232748  , 0.244387
0.232745  , 0.244384
0.232742  , 0.244383
0.232736  , 0.244378
0.232735  , 0.244375
0.232732  , 0.244373
0.232729  , 0.244374
0.232727  , 0.244374
0.232724  , 0.244371
0.232721  , 0.24437
0.232718  , 0.244367
0.232716  , 0.244364
0.232713  , 0.244364
0.232711  , 0.244361
0.23271   , 0.24436
0.232705  , 0.244356
0.232702  , 0.244357
0.232697  , 0.244353
0.232693  , 0.244351
0.232692  , 0.244349
0.232688  , 0.244349
0.232683  , 0.244344
0.23268   , 0.244339
0.232676  , 0.244337
0.23267   , 0.244331
0.232667  , 0.244327
0.232665  , 0.244328
0.232662  , 0.244325
0.232659  , 0.244324
0.232656  , 0.244323
0.232652  , 0.24432
0.232648  , 0.244318
0.23264   , 0.244312
0.232638  , 0.244312
0.232636  , 0.244311
0.232633  , 0.244312
0.232628  , 0.244308
0.232625  , 0.244304
0.232621  , 0.2443
0.232619  , 0.244301
0.232615  , 0.244297
0.232612  , 0.244295
0.23261   , 0.244292
0.232607  , 0.244291
0.232605  , 0.244289
0.232601  , 0.244285
0.232598  , 0.244284
0.232596  , 0.24428
0.232592  , 0.244277
0.232588  , 0.244274
0.232586  , 0.244275
0.232583  , 0.244273
0.232576  , 0.244269
0.232573  , 0.244267
0.232572  , 0.244269
0.23257   , 0.244266
0.232567  , 0.244261
0.232566  , 0.24426
0.232563  , 0.244257
0.232558  , 0.244253
0.232555  , 0.244251
0.232552  , 0.24425
0.23255   , 0.24425
0.232548  , 0.244249
0.232545  , 0.244247
0.232543  , 0.244244
0.232541  , 0.244243
0.232538  , 0.244242
0.232536  , 0.244241
0.232534  , 0.244238
0.232533  , 0.244239
0.232531  , 0.244238
0.232529  , 0.244239
0.232528  , 0.244239
0.232524  , 0.244236
0.232521  , 0.244234
0.232519  , 0.244232
0.232516  , 0.244229
0.232513  , 0.244224
0.232512  , 0.244225
0.23251   , 0.244224
0.232507  , 0.244223
0.232502  , 0.244218
0.2325    , 0.244218
0.232499  , 0.244215
0.232497  , 0.244213
0.232495  , 0.244211
0.232493  , 0.244209
0.232489  , 0.244205
0.232486  , 0.244204
0.232483  , 0.244203
0.23248   , 0.2442
0.232476  , 0.244197
0.232473  , 0.244194
0.232471  , 0.244193
0.232468  , 0.244191
0.232463  , 0.244189
0.23246   , 0.244186
0.232457  , 0.244182
0.232455  , 0.244181
0.232452  , 0.244178
0.232449  , 0.244176
0.232448  , 0.244174
0.232447  , 0.244174
0.232444  , 0.244172
0.232442  , 0.244172
0.23244   , 0.24417
0.232436  , 0.244168
0.232433  , 0.244165
0.232432  , 0.244166
0.232431  , 0.244166
0.232429  , 0.244165
0.232425  , 0.244158
0.232423  , 0.244158
0.232422  , 0.244157
0.23242   , 0.244159
0.232418  , 0.244154
0.232416  , 0.244153
0.232413  , 0.244152
0.232411  , 0.24415
0.232409  , 0.244148
0.232407  , 0.244148
0.232406  , 0.244147
0.232405  , 0.244148
0.232403  , 0.244146
0.232401  , 0.244145
0.232398  , 0.244144
0.232395  , 0.244142
0.232394  , 0.244143
0.232393  , 0.244142
0.232391  , 0.244141
0.232389  , 0.24414
0.232388  , 0.244138
0.232385  , 0.244135
0.232384  , 0.244134
0.232379  , 0.244131
0.232377  , 0.24413
0.232374  , 0.244129
0.232371  , 0.244127
0.232369  , 0.244125
0.232367  , 0.244123
0.232365  , 0.244122
0.232362  , 0.244121
0.23236   , 0.244121
0.232359  , 0.244121
0.232357  , 0.244119
0.232356  , 0.244117
0.232352  , 0.244116
0.232351  , 0.244116
0.232349  , 0.244115
0.232346  , 0.244113
0.232344  , 0.244112
0.232343  , 0.244113
0.232341  , 0.244111
0.23234   , 0.24411
0.232338  , 0.244112
0.232336  , 0.244113
0.232335  , 0.244112
0.23233   , 0.244109
0.232327  , 0.244108
0.232325  , 0.244106
0.232324  , 0.244105
0.232321  , 0.244102
0.23232   , 0.2441
0.232318  , 0.2441
0.232316  , 0.244098
0.232314  , 0.244096
0.232311  , 0.244094
0.23231   , 0.244092
0.232308  , 0.244091
0.232305  , 0.24409
0.232303  , 0.24409
0.232302  , 0.24409
0.2323    , 0.244089
0.232298  , 0.244088
0.232296  , 0.244085
0.232294  , 0.244085
0.232292  , 0.244085
0.23229   , 0.244083
0.232289  , 0.244083
0.232288  , 0.244086
0.232287  , 0.244084
0.232286  , 0.244083
0.232284  , 0.244082
0.232282  , 0.244081
0.232281  , 0.24408
0.232279  , 0.244079
0.232274  , 0.244076
0.232274  , 0.244076
0.232271  , 0.244073
0.232268  , 0.244071
0.232267  , 0.244069
0.232265  , 0.244068
0.232263  , 0.244067
0.232261  , 0.244066
0.23226   , 0.244067
0.232258  , 0.244066
0.232256  , 0.244065
0.232255  , 0.244064
0.232254  , 0.244063
0.232252  , 0.244063
0.232251  , 0.244063
0.232246  , 0.244061
0.232245  , 0.24406
0.232243  , 0.244058
0.232241  , 0.244058
0.23224   , 0.244056
0.232239  , 0.244055
0.232236  , 0.244054
0.232235  , 0.244054
0.232232  , 0.244051
0.232231  , 0.244051
0.23223   , 0.24405
0.232228  , 0.244048
0.232228  , 0.244049
0.232225  , 0.244047
0.232224  , 0.244047
0.232222  , 0.244046
0.23222   , 0.244046
0.232218  , 0.244045
0.232216  , 0.244044
0.232215  , 0.244044
0.232213  , 0.244044
0.232211  , 0.244043
0.23221   , 0.244042
0.232208  , 0.244042
0.232207  , 0.24404
0.232205  , 0.24404
0.232204  , 0.24404
0.232202  , 0.244038
0.232202  , 0.244039
0.2322    , 0.244039
0.232199  , 0.244039
0.232198  , 0.244039
0.232197  , 0.244037
0.232194  , 0.244034
0.232192  , 0.244032
0.232191  , 0.244033
0.232189  , 0.244031
0.232188  , 0.24403
0.232186  , 0.244027
0.232185  , 0.244026
0.232182  , 0.244024
0.232181  , 0.244025
0.232181  , 0.244023
0.232179  , 0.244022
0.232177  , 0.244019
0.232176  , 0.244018
0.232174  , 0.244016
0.232173  , 0.244016
0.232172  , 0.244015
0.232168  , 0.244012
0.232167  , 0.244012
0.232165  , 0.244011
0.232165  , 0.244011
0.232163  , 0.244007
0.232161  , 0.244007
0.232159  , 0.244008
0.232156  , 0.244006
0.232153  , 0.244004
0.232152  , 0.244005
0.232151  , 0.244006
0.23215   , 0.244005
0.232148  , 0.244005
0.232147  , 0.244004
0.232143  , 0.244003
0.232142  , 0.244002
0.232141  , 0.244002
0.232139  , 0.244001
0.232138  , 0.244
0.232137  , 0.244
0.232135  , 0.244001
0.232134  , 0.244
0.232131  , 0.243998
0.232129  , 0.243998
0.232128  , 0.243997
0.232126  , 0.243996
0.232124  , 0.243995
0.232122  , 0.243995
0.232121  , 0.243994
0.232119  , 0.243993
0.232118  , 0.243993
0.232117  , 0.243993
0.232115  , 0.243992
0.232113  , 0.243991
0.232112  , 0.24399
0.232111  , 0.24399
0.23211   , 0.24399
0.232108  , 0.24399
0.232106  , 0.243991
0.232104  , 0.24399
0.232103  , 0.24399
0.232101  , 0.243989
0.232101  , 0.243989
0.2321    , 0.243988
0.232099  , 0.243988
0.232098  , 0.243987
0.232096  , 0.243986
0.232095  , 0.243986
0.232094  , 0.243986
0.232093  , 0.243985
0.232092  , 0.243985
0.23209   , 0.243984
0.232089  , 0.243984
0.232087  , 0.243983
0.232086  , 0.243983
0.232085  , 0.243981
0.232084  , 0.243981
0.232083  , 0.24398
0.232082  , 0.243981
0.232081  , 0.243982
0.232079  , 0.24398
0.232078  , 0.243981
0.232077  , 0.24398
0.232074  , 0.243977
0.232073  , 0.243976
0.232071  , 0.243975
0.23207   , 0.243974
0.23207   , 0.243974
0.232069  , 0.243974
0.232068  , 0.243974
0.232067  , 0.243974
0.232066  , 0.243973
0.232065  , 0.243972
0.232064  , 0.243971
0.232062  , 0.243968
0.232061  , 0.243969
0.232058  , 0.243969
0.232057  , 0.243969
0.232055  , 0.243967
0.232053  , 0.243967
0.232052  , 0.243966
0.232052  , 0.243967
0.232051  , 0.243967
0.23205   , 0.243966
0.232049  , 0.243965
0.232048  , 0.243964
0.232047  , 0.243964
0.232046  , 0.243963
0.232045  , 0.243964
0.232043  , 0.243963
0.232041  , 0.243962
0.23204   , 0.243962
0.232039  , 0.243962
0.232038  , 0.243961
0.232036  , 0.243961
0.232035  , 0.243959
0.232033  , 0.243958
0.232031  , 0.243956
0.23203   , 0.243956
0.232029  , 0.243956
0.232027  , 0.243954
0.232026  , 0.243954
0.232025  , 0.243954
0.232024  , 0.243953
0.232023  , 0.243951
0.232021  , 0.243947
0.232019  , 0.243945
0.232018  , 0.243944
0.232016  , 0.243942
0.232015  , 0.243942
0.232013  , 0.24394
0.232012  , 0.24394
0.232011  , 0.24394
0.23201   , 0.24394
0.232009  , 0.243941
0.232008  , 0.24394
0.232005  , 0.243939
0.232003  , 0.243938
0.232001  , 0.243936
0.232 , 0.243935
0.231998  , 0.243933
0.231997  , 0.243932
0.231995  , 0.243932
0.231994  , 0.243932
0.231993  , 0.243932
0.231993  , 0.243933
0.231992  , 0.243932
0.231991  , 0.243931
0.231989  , 0.24393
0.231988  , 0.243929
0.231987  , 0.243929
0.231984  , 0.243929
0.231983  , 0.243928
0.231983  , 0.243927
0.231982  , 0.243927
0.231981  , 0.243926
0.23198   , 0.243926
0.231979  , 0.243926
0.231977  , 0.243926
0.231975  , 0.243924
0.231974  , 0.243924
0.231973  , 0.243924
0.231972  , 0.243923
0.231971  , 0.243923
0.23197   , 0.243922
0.231968  , 0.243921
0.231967  , 0.243921
0.231967  , 0.243921
0.231966  , 0.243921
0.231964  , 0.243921
0.231963  , 0.243922
0.231962  , 0.243921
0.231961  , 0.243921
0.23196   , 0.243921
0.231959  , 0.24392
0.231958  , 0.24392
0.231957  , 0.24392
0.231956  , 0.24392
0.231955  , 0.243919
0.231953  , 0.243917
0.231953  , 0.243917
0.231951  , 0.243916
0.23195   , 0.243917
0.231949  , 0.243917
0.231948  , 0.243916
0.231947  , 0.243916
0.231946  , 0.243915
0.231945  , 0.243914
0.231944  , 0.243913
0.231943  , 0.243913
0.23194   , 0.243912
0.231939  , 0.243911
0.231938  , 0.24391
0.231937  , 0.24391
0.231935  , 0.24391
0.231934  , 0.243908
0.231932  , 0.243906
0.231931  , 0.243906
0.23193   , 0.243905
0.231929  , 0.243905
0.231928  , 0.243905
0.231927  , 0.243904
0.231927  , 0.243905
0.231926  , 0.243905
0.231925  , 0.243904
0.231924  , 0.243903
0.231922  , 0.243902
0.231921  , 0.243901
0.23192   , 0.243901
0.231918  , 0.2439
0.231917  , 0.243898
0.231916  , 0.243897
0.231915  , 0.243898
